Country,Year,GDP,Continent,GDP Growth %
Afghanistan,2020,20136,Asia,0.0
Afghanistan,2021,14278,Asia,-29.09
Afghanistan,2022,14501,Asia,1.56
Afghanistan,2023,17248,Asia,18.94
Albania,2020,15271,Europe,0.0
Albania,2021,18086,Europe,18.43
Albania,2022,19185,Europe,6.08
Albania,2023,23388,Europe,21.91
Albania,2024,27259,Europe,16.55
Albania,2025,28372,Europe,4.08
Algeria,2020,164774,Africa,0.0
Algeria,2021,185850,Africa,12.79
Algeria,2022,225709,Africa,21.45
Algeria,2023,247789,Africa,9.78
Algeria,2024,264913,Africa,6.91
Algeria,2025,268885,Africa,1.5
Andorra,2020,2885,Europe,0.0
Andorra,2021,3325,Europe,15.25
Andorra,2022,3376,Europe,1.53
Andorra,2023,3786,Europe,12.14
Andorra,2024,4038,Europe,6.66
Andorra,2025,4035,Europe,-0.07
Angola,2020,66521,Africa,0.0
Angola,2021,84375,Africa,26.84
Angola,2022,142442,Africa,68.82
Angola,2023,109764,Africa,-22.94
Angola,2024,115946,Africa,5.63
Angola,2025,113343,Africa,-2.25
Antigua and Barbuda,2020,1412,North America,0.0
Antigua and Barbuda,2021,1602,North America,13.46
Antigua and Barbuda,2022,1867,North America,16.54
Antigua and Barbuda,2023,2006,North America,7.45
Antigua and Barbuda,2024,2225,North America,10.92
Antigua and Barbuda,2025,2373,North America,6.65
Argentina,2020,385218,South America,0.0
Argentina,2021,486040,South America,26.17
Argentina,2022,632318,South America,30.1
Argentina,2023,645511,South America,2.09
Argentina,2024,632145,South America,-2.07
Argentina,2025,683533,South America,8.13
Armenia,2020,12642,Asia,0.0
Armenia,2021,13879,Asia,9.78
Armenia,2022,19514,Asia,40.6
Armenia,2023,24086,Asia,23.43
Armenia,2024,25533,Asia,6.01
Armenia,2025,26258,Asia,2.84
Aruba,2020,2486,North America,0.0
Aruba,2021,2929,North America,17.82
Aruba,2022,3279,North America,11.95
Aruba,2023,3649,North America,11.28
Aruba,2024,3952,North America,8.3
Aruba,2025,4100,North America,3.74
Australia,2020,1362613,Oceania,0.0
Australia,2021,1655843,Oceania,21.52
Australia,2022,1725461,Oceania,4.2
Australia,2023,1742461,Oceania,0.99
Australia,2024,1796805,Oceania,3.12
Australia,2025,1771681,Oceania,-1.4
Austria,2020,434050,Europe,0.0
Austria,2021,480786,Europe,10.77
Austria,2022,472339,Europe,-1.76
Austria,2023,512509,Europe,8.5
Austria,2024,521269,Europe,1.71
Austria,2025,534301,Europe,2.5
Azerbaijan,2020,42693,Asia,0.0
Azerbaijan,2021,54825,Asia,28.42
Azerbaijan,2022,78807,Asia,43.74
Azerbaijan,2023,72428,Asia,-8.09
Azerbaijan,2024,74316,Asia,2.61
Azerbaijan,2025,78870,Asia,6.13
Bahamas,2020,9958,North America,0.0
Bahamas,2021,11369,North America,14.17
Bahamas,2022,13136,North America,15.54
Bahamas,2023,14338,North America,9.15
Bahamas,2024,14761,North America,2.95
Bahamas,2025,15178,North America,2.83
Bahrain,2020,35838,Asia,0.0
Bahrain,2021,40840,Asia,13.96
Bahrain,2022,46458,Asia,13.76
Bahrain,2023,46192,Asia,-0.57
Bahrain,2024,46943,Asia,1.63
Bahrain,2025,47829,Asia,1.89
Bangladesh,2020,373902,Asia,0.0
Bangladesh,2021,416265,Asia,11.33
Bangladesh,2022,460201,Asia,10.55
Bangladesh,2023,451534,Asia,-1.88
Bangladesh,2024,451096,Asia,-0.1
Bangladesh,2025,467218,Asia,3.57
Barbados,2020,5168,North America,0.0
Barbados,2021,5275,North America,2.07
Barbados,2022,6257,North America,18.62
Barbados,2023,6721,North America,7.42
Barbados,2024,7167,North America,6.64
Barbados,2025,7552,North America,5.37
Belarus,2020,61312,Europe,0.0
Belarus,2021,68207,Europe,11.25
Belarus,2022,73735,Europe,8.1
Belarus,2023,71792,Europe,-2.64
Belarus,2024,71180,Europe,-0.85
Belarus,2025,71561,Europe,0.54
Belgium,2020,529269,Europe,0.0
Belgium,2021,598892,Europe,13.15
Belgium,2022,593906,Europe,-0.83
Belgium,2023,644968,Europe,8.6
Belgium,2024,664965,Europe,3.1
Belgium,2025,684864,Europe,2.99
Belize,2020,2043,North America,0.0
Belize,2021,2421,North America,18.5
Belize,2022,2847,North America,17.6
Belize,2023,3067,North America,7.73
Belize,2024,3427,North America,11.74
Belize,2025,3611,North America,5.37
Benin,2020,15674,Africa,0.0
Benin,2021,17699,Africa,12.92
Benin,2022,17439,Africa,-1.47
Benin,2023,19679,Africa,12.84
Benin,2024,21249,Africa,7.98
Benin,2025,22236,Africa,4.64
Bhutan,2020,2586,Asia,0.0
Bhutan,2021,2623,Asia,1.43
Bhutan,2022,2869,Asia,9.38
Bhutan,2023,2923,Asia,1.88
Bhutan,2024,3092,Asia,5.78
Bhutan,2025,3422,Asia,10.67
Bolivia,2020,36897,South America,0.0
Bolivia,2021,40701,South America,10.31
Bolivia,2022,44329,South America,8.91
Bolivia,2023,45464,South America,2.56
Bolivia,2024,48404,South America,6.47
Bolivia,2025,56339,South America,16.39
Bosnia and Herzegovina,2020,20226,Europe,0.0
Bosnia and Herzegovina,2021,23673,Europe,17.04
Bosnia and Herzegovina,2022,24535,Europe,3.64
Bosnia and Herzegovina,2023,27592,Europe,12.46
Bosnia and Herzegovina,2024,28795,Europe,4.36
Bosnia and Herzegovina,2025,28807,Europe,0.04
Botswana,2020,14930,Africa,0.0
Botswana,2021,18750,Africa,25.59
Botswana,2022,20321,Africa,8.38
Botswana,2023,19411,Africa,-4.48
Botswana,2024,19356,Africa,-0.28
Botswana,2025,19400,Africa,0.23
Brazil,2020,1476092,South America,0.0
Brazil,2021,1670650,South America,13.18
Brazil,2022,1951849,South America,16.83
Brazil,2023,2191137,South America,12.26
Brazil,2024,2171337,South America,-0.9
Brazil,2025,2125958,South America,-2.09
Brunei,2020,12006,Asia,0.0
Brunei,2021,14006,Asia,16.66
Brunei,2022,16682,Asia,19.11
Brunei,2023,15095,Asia,-9.51
Brunei,2024,15463,Asia,2.44
Brunei,2025,16007,Asia,3.52
Bulgaria,2020,70658,Europe,0.0
Bulgaria,2021,84477,Europe,19.56
Bulgaria,2022,90719,Europe,7.39
Bulgaria,2023,102434,Europe,12.91
Bulgaria,2024,112232,Europe,9.57
Bulgaria,2025,117007,Europe,4.25
Burkina Faso,2020,17837,Africa,0.0
Burkina Faso,2021,19747,Africa,10.71
Burkina Faso,2022,19588,Africa,-0.81
Burkina Faso,2023,21181,Africa,8.13
Burkina Faso,2024,23975,Africa,13.19
Burkina Faso,2025,27056,Africa,12.85
Burundi,2020,3089,Africa,0.0
Burundi,2021,3356,Africa,8.64
Burundi,2022,3922,Africa,16.87
Burundi,2023,4246,Africa,8.26
Burundi,2024,4743,Africa,11.71
Burundi,2025,6745,Africa,42.21
Cape Verde,2020,1831,Africa,0.0
Cape Verde,2021,2053,Africa,12.12
Cape Verde,2022,2309,Africa,12.47
Cape Verde,2023,2588,Africa,12.08
Cape Verde,2024,2726,Africa,5.33
Cape Verde,2025,2786,Africa,2.2
Cambodia,2020,34898,Asia,0.0
Cambodia,2021,36797,Asia,5.44
Cambodia,2022,39838,Asia,8.26
Cambodia,2023,43304,Asia,8.7
Cambodia,2024,47328,Asia,9.29
Cambodia,2025,49799,Asia,5.22
Cameroon,2020,40863,Africa,0.0
